id,language,name,url
128089604,Java,OOP-100-days-of-code,https://api.github.com/repos/alanponce/OOP-100-days-of-code
121088658,Java,corejava_dec_2018,https://api.github.com/repos/narsinghraom/corejava_dec_2018
115627218,Java,digital-learning-imbit,https://api.github.com/repos/imbitdhbwma/digital-learning-imbit
107048898,Java,DataStructures,https://api.github.com/repos/rbermudez728/DataStructures
94941965,Java,skillrat,https://api.github.com/repos/vamsich/skillrat
61232439,Java,campus2017,https://api.github.com/repos/campus2017/campus2017
53109790,Java,java89-project-team,https://api.github.com/repos/eomjinyoung/java89-project-team
37176248,Java,answeris,https://api.github.com/repos/newlec/answeris
33500681,Java,anymarket-sdk-java,https://api.github.com/repos/AnyMarket/anymarket-sdk-java
30936267,Java,RPG6,https://api.github.com/repos/bnockles/RPG6
30391087,Java,hibernate-ogm,https://api.github.com/repos/schernolyas/hibernate-ogm
30123373,Java,sp16-ceg3120,https://api.github.com/repos/rsanchez-wsu/sp16-ceg3120
24925377,Java,fa15-ceg3120,https://api.github.com/repos/rsanchez-wsu/fa15-ceg3120
24150214,Java,TrainingProject,https://api.github.com/repos/tranminhlan/TrainingProject
22073517,Java,TestGit,https://api.github.com/repos/hailor/TestGit
21664301,Java,calibration-devices-system,https://api.github.com/repos/Social-Projects/calibration-devices-system
20849270,Java,downlords-faf-client,https://api.github.com/repos/micheljung/downlords-faf-client
19691839,Java,mepa,https://api.github.com/repos/sigl-mepa-2016/mepa
19084770,Java,hpcourse,https://api.github.com/repos/eugenyk/hpcourse
15851489,Java,tomsoft,https://api.github.com/repos/JalIrani/tomsoft
13131792,Java,quickstarts,https://api.github.com/repos/fabric8io/ipaas-quickstarts
13086681,Java,petri,https://api.github.com/repos/wix/petri
12924738,Java,saltstack-netapi-client-java,https://api.github.com/repos/SUSE/salt-netapi-client
12842581,Java,hdfs,https://api.github.com/repos/mesosphere/hdfs
12675125,Java,eionet.xmlconv,https://api.github.com/repos/eea/eionet.xmlconv
12667187,Java,imglib2,https://api.github.com/repos/imglib/imglib2
12546979,Java,deep-spark,https://api.github.com/repos/Stratio/deep-spark
12419564,Java,kc_fixes,https://api.github.com/repos/vivantech/kc_fixes
